"DateTime","Players","Average Players"
"2025-07-17 00:00:00",7646,3808
"2025-07-18 00:00:00",12648,9782
"2025-07-19 00:00:00",12618,8020
"2025-07-20 00:00:00",12444,8063
"2025-07-21 00:00:00",12472,8621
"2025-07-22 00:00:00",11512,7774
"2025-07-23 00:00:00",10827,6512
"2025-07-24 00:00:00",8828,5831
"2025-07-25 00:00:00",11884,6419
"2025-07-26 00:00:00",12762,7918
"2025-07-27 00:00:00",12507,8252
"2025-07-28 00:00:00",12324,8058
"2025-07-29 00:00:00",10296,6146
"2025-07-30 00:00:00",9760,5977
"2025-07-31 00:00:00",9559,6228
"2025-08-01 00:00:00",11321,6226
"2025-08-02 00:00:00",12166,8080
"2025-08-03 00:00:00",12018,7904
"2025-08-04 00:00:00",10004,6931
"2025-08-05 00:00:00",8882,5392
"2025-08-06 00:00:00",9834,5884
"2025-08-07 00:00:00",9392,5396
"2025-08-08 00:00:00",10041,5770
"2025-08-09 00:00:00",12646,7610
"2025-08-10 00:00:00",12391,8103
"2025-08-11 00:00:00",10316,6923
"2025-08-12 00:00:00",10019,6198
"2025-08-13 00:00:00",10078,6393
"2025-08-14 00:00:00",9557,6191
"2025-08-15 00:00:00",12821,7077
"2025-08-16 00:00:00",12428,8309
"2025-08-17 00:00:00",12382,8282
"2025-08-18 00:00:00",12485,8009
"2025-08-19 00:00:00",10606,7368
"2025-08-20 00:00:00",10111,6222
"2025-08-21 00:00:00",10609,7026
"2025-08-22 00:00:00",10199,6665
"2025-08-23 00:00:00",12679,6589
"2025-08-24 00:00:00",12754,8319
"2025-08-25 00:00:00",10814,7029
"2025-08-26 00:00:00",10251,6679
"2025-08-27 00:00:00",10281,6816
"2025-08-28 00:00:00",10197,6371
"2025-08-29 00:00:00",10197,6342
"2025-08-30 00:00:00",12797,7542
"2025-08-31 00:00:00",12811,8483
"2025-09-01 00:00:00",10739,7435
"2025-09-02 00:00:00",10236,6635
"2025-09-03 00:00:00",10230,6766
"2025-09-04 00:00:00",10144,6693
"2025-09-05 00:00:00",10335,6730
"2025-09-06 00:00:00",12808,7849
"2025-09-07 00:00:00",12820,8546
"2025-09-08 00:00:00",10796,7680
"2025-09-09 00:00:00",10251,6680
"2025-09-10 00:00:00",10179,6803
"2025-09-11 00:00:00",8991,5655
"2025-09-12 00:00:00",9284,6299
"2025-09-13 00:00:00",12867,7981
"2025-09-14 00:00:00",12864,8537
"2025-09-15 00:00:00",10845,7232
"2025-09-16 00:00:00",9819,6333
"2025-09-17 00:00:00",9716,6298
"2025-09-18 00:00:00",9691,6247
