"DateTime","Players","Average Players"
"2025-03-24 00:00:00",68662,55875
"2025-03-25 00:00:00",116408,61149
"2025-03-26 00:00:00",142759,76728
"2025-03-27 00:00:00",190198,105838
"2025-03-28 00:00:00",234892,137974
"2025-03-29 00:00:00",319461,201716
"2025-03-30 00:00:00",414166,266562
"2025-03-31 00:00:00",358186,234887
"2025-04-01 00:00:00",339772,230242
"2025-04-02 00:00:00",329820,227972
"2025-04-03 00:00:00",318415,222651
"2025-04-04 00:00:00",329355,225521
"2025-04-05 00:00:00",404993,277486
"2025-04-06 00:00:00",459075,314712
"2025-04-07 00:00:00",366030,249071
"2025-04-08 00:00:00",341872,236495
"2025-04-09 00:00:00",318910,224387
"2025-04-10 00:00:00",307486,219679
"2025-04-11 00:00:00",311718,219442
"2025-04-12 00:00:00",352373,249558
"2025-04-13 00:00:00",376051,265136
"2025-04-14 00:00:00",295930,197117
"2025-04-15 00:00:00",246704,176839
"2025-04-16 00:00:00",222808,161898
"2025-04-17 00:00:00",216399,155563
"2025-04-18 00:00:00",232474,169173
"2025-04-19 00:00:00",226708,164263
"2025-04-20 00:00:00",241831,167213
"2025-04-21 00:00:00",205646,151428
"2025-04-22 00:00:00",169397,120015
"2025-04-23 00:00:00",151098,106638
"2025-04-24 00:00:00",141217,99824
"2025-04-25 00:00:00",141521,97639
"2025-04-26 00:00:00",157480,110709
"2025-04-27 00:00:00",164646,114749
"2025-04-28 00:00:00",122243,80084
"2025-04-29 00:00:00",102676,73140
"2025-04-30 00:00:00",99870,69467
"2025-05-01 00:00:00",99719,74024
"2025-05-02 00:00:00",99846,70508
"2025-05-03 00:00:00",117479,81397
"2025-05-04 00:00:00",125340,87561
"2025-05-05 00:00:00",96134,65044
"2025-05-06 00:00:00",79543,56942
"2025-05-07 00:00:00",74941,53183
"2025-05-08 00:00:00",77091,53682
"2025-05-09 00:00:00",77602,53665
"2025-05-10 00:00:00",87575,62259
"2025-05-11 00:00:00",88173,63090
"2025-05-12 00:00:00",69030,47947
"2025-05-13 00:00:00",62328,44095
"2025-05-14 00:00:00",57485,41366
"2025-05-15 00:00:00",54170,39189
"2025-05-16 00:00:00",55603,38545
"2025-05-17 00:00:00",63321,45242
"2025-05-18 00:00:00",68040,48544
"2025-05-19 00:00:00",54187,36358
"2025-05-20 00:00:00",47399,32298
"2025-05-21 00:00:00",42704,30538
"2025-05-22 00:00:00",41201,29210
"2025-05-23 00:00:00",43236,29914
"2025-05-24 00:00:00",49156,34630
"2025-05-25 00:00:00",52093,37044
"2025-05-26 00:00:00",50067,33789
"2025-05-27 00:00:00",42037,27887
"2025-05-28 00:00:00",38026,26536
"2025-05-29 00:00:00",35986,26589
"2025-05-30 00:00:00",34113,24605
"2025-05-31 00:00:00",37685,27110
"2025-06-01 00:00:00",40814,29009
"2025-06-02 00:00:00",33059,22637
"2025-06-03 00:00:00",29110,20726
"2025-06-04 00:00:00",27622,19836
"2025-06-05 00:00:00",26273,18935
"2025-06-06 00:00:00",26788,18855
"2025-06-07 00:00:00",30995,21636
"2025-06-08 00:00:00",36741,24957
"2025-06-09 00:00:00",30754,21544
"2025-06-10 00:00:00",27369,19275
"2025-06-11 00:00:00",25497,18272
"2025-06-12 00:00:00",24240,17419
"2025-06-13 00:00:00",24106,17155
"2025-06-14 00:00:00",27105,19277
"2025-06-15 00:00:00",28309,20608
"2025-06-16 00:00:00",23425,16738
"2025-06-17 00:00:00",21909,15708
"2025-06-18 00:00:00",20654,14838
"2025-06-19 00:00:00",20674,15015
"2025-06-20 00:00:00",19135,13995
"2025-06-21 00:00:00",20593,14937
"2025-06-22 00:00:00",23269,16335
"2025-06-23 00:00:00",19193,13456
"2025-06-24 00:00:00",17500,12700
"2025-06-25 00:00:00",16288,11971
"2025-06-26 00:00:00",17280,11946
"2025-06-27 00:00:00",21401,14328
"2025-06-28 00:00:00",26239,18023
"2025-06-29 00:00:00",31209,21512
"2025-06-30 00:00:00",26355,18739
"2025-07-01 00:00:00",25948,18586
"2025-07-02 00:00:00",25607,18452
"2025-07-03 00:00:00",26162,18506
"2025-07-04 00:00:00",28371,19968
"2025-07-05 00:00:00",30739,21002
"2025-07-06 00:00:00",35103,24386
"2025-07-07 00:00:00",28838,20535
"2025-07-08 00:00:00",27127,19506
"2025-07-09 00:00:00",26065,18987
"2025-07-10 00:00:00",25094,18248
"2025-07-11 00:00:00",23408,17331
"2025-07-12 00:00:00",24987,18481
"2025-07-13 00:00:00",26302,19459
"2025-07-14 00:00:00",22218,15746
"2025-07-15 00:00:00",19602,14480
"2025-07-16 00:00:00",18530,13647
"2025-07-17 00:00:00",17334,12948
"2025-07-18 00:00:00",17258,12582
"2025-07-19 00:00:00",18751,13974
"2025-07-20 00:00:00",21515,15253
"2025-07-21 00:00:00",17858,12881
"2025-07-22 00:00:00",16186,11944
"2025-07-23 00:00:00",15217,11504
"2025-07-24 00:00:00",14599,11087
"2025-07-25 00:00:00",15086,11019
"2025-07-26 00:00:00",16921,12399
"2025-07-27 00:00:00",19297,13904
"2025-07-28 00:00:00",16071,11748
"2025-07-29 00:00:00",14775,10886
"2025-07-30 00:00:00",14108,10417
"2025-07-31 00:00:00",13788,10150
"2025-08-01 00:00:00",13576,10073
"2025-08-02 00:00:00",15594,11401
"2025-08-03 00:00:00",17481,12590
"2025-08-04 00:00:00",14633,10710
"2025-08-05 00:00:00",13716,10051
"2025-08-06 00:00:00",13110,9655
"2025-08-07 00:00:00",12421,9237
"2025-08-08 00:00:00",11864,8839
"2025-08-09 00:00:00",13245,9704
"2025-08-10 00:00:00",15130,10746
"2025-08-11 00:00:00",12816,9194
"2025-08-12 00:00:00",11813,8706
"2025-08-13 00:00:00",16430,10383
"2025-08-14 00:00:00",17411,12846
"2025-08-15 00:00:00",17670,13023
"2025-08-16 00:00:00",19443,14488
"2025-08-17 00:00:00",26007,17398
"2025-08-18 00:00:00",21807,15371
"2025-08-19 00:00:00",20140,14811
"2025-08-20 00:00:00",19507,14484
"2025-08-21 00:00:00",18824,13783
"2025-08-22 00:00:00",18965,13629
"2025-08-23 00:00:00",21753,15450
"2025-08-24 00:00:00",23866,16893
"2025-08-25 00:00:00",20346,13581
"2025-08-26 00:00:00",17387,12320
"2025-08-27 00:00:00",15878,11864
"2025-08-28 00:00:00",24685,17220
