"DateTime","Players","Average Players"
"2024-12-06 00:00:00",444286,303973
"2024-12-07 00:00:00",430435,348788
"2024-12-08 00:00:00",480990,387044
"2024-12-09 00:00:00",452007,328342
"2024-12-10 00:00:00",460883,313471
"2024-12-11 00:00:00",441152,319868
"2024-12-12 00:00:00",449895,317095
"2024-12-13 00:00:00",382389,307581
"2024-12-14 00:00:00",442993,360449
"2024-12-15 00:00:00",440444,363301
"2024-12-16 00:00:00",421545,301422
"2024-12-17 00:00:00",420236,294611
"2024-12-18 00:00:00",402705,283339
"2024-12-19 00:00:00",395880,277482
"2024-12-20 00:00:00",378972,288454
"2024-12-21 00:00:00",397239,311573
"2024-12-22 00:00:00",386782,307976
"2024-12-23 00:00:00",377355,280042
"2024-12-24 00:00:00",375405,267863
"2024-12-25 00:00:00",306584,242624
"2024-12-26 00:00:00",333290,257842
"2024-12-27 00:00:00",351532,267629
"2024-12-28 00:00:00",368219,282365
"2024-12-29 00:00:00",373211,292289
"2024-12-30 00:00:00",383277,276551
"2024-12-31 00:00:00",391260,263091
"2025-01-01 00:00:00",377505,264456
"2025-01-02 00:00:00",396407,274485
"2025-01-03 00:00:00",396044,280747
"2025-01-04 00:00:00",423797,310382
"2025-01-05 00:00:00",425970,319910
"2025-01-06 00:00:00",409436,279454
"2025-01-07 00:00:00",415651,277790
"2025-01-08 00:00:00",438502,286532
"2025-01-09 00:00:00",445734,290860
"2025-01-10 00:00:00",582422,367635
"2025-01-11 00:00:00",644269,457778
"2025-01-12 00:00:00",565653,426301
"2025-01-13 00:00:00",522899,333832
"2025-01-14 00:00:00",489967,316167
"2025-01-15 00:00:00",468448,304708
"2025-01-16 00:00:00",465903,301229
"2025-01-17 00:00:00",453555,314467
"2025-01-18 00:00:00",496569,362760
"2025-01-19 00:00:00",453366,358602
"2025-01-20 00:00:00",466342,321793
"2025-01-21 00:00:00",450941,289648
"2025-01-22 00:00:00",438600,279166
"2025-01-23 00:00:00",429973,278121
"2025-01-24 00:00:00",418510,282828
"2025-01-25 00:00:00",448452,322502
"2025-01-26 00:00:00",431877,324936
"2025-01-27 00:00:00",402691,261583
"2025-01-28 00:00:00",395997,250674
"2025-01-29 00:00:00",385068,245289
"2025-01-30 00:00:00",380414,242782
"2025-01-31 00:00:00",386270,254612
"2025-02-01 00:00:00",410501,294830
"2025-02-02 00:00:00",395827,294654
"2025-02-03 00:00:00",375958,237602
"2025-02-04 00:00:00",364417,227328
"2025-02-05 00:00:00",349674,222577
"2025-02-06 00:00:00",353450,222449
"2025-02-07 00:00:00",345732,227753
"2025-02-08 00:00:00",363701,261466
"2025-02-09 00:00:00",357688,263150
"2025-02-10 00:00:00",285682,199270
"2025-02-11 00:00:00",327110,208183
"2025-02-12 00:00:00",329535,206654
"2025-02-13 00:00:00",331490,205412
"2025-02-14 00:00:00",318784,204229
"2025-02-15 00:00:00",295801,227716
"2025-02-16 00:00:00",324633,241445
"2025-02-17 00:00:00",310287,211524
"2025-02-18 00:00:00",308674,193709
"2025-02-19 00:00:00",318993,204063
"2025-02-20 00:00:00",320376,202212
"2025-02-21 00:00:00",363104,234933
"2025-02-22 00:00:00",437915,298527
"2025-02-23 00:00:00",376446,278264
"2025-02-24 00:00:00",344535,215503
"2025-02-25 00:00:00",325530,199573
"2025-02-26 00:00:00",315957,198516
"2025-02-27 00:00:00",310010,194758
"2025-02-28 00:00:00",311291,197796
"2025-03-01 00:00:00",307231,218673
"2025-03-02 00:00:00",290254,213249
"2025-03-03 00:00:00",268283,170425
"2025-03-04 00:00:00",260153,163724
"2025-03-05 00:00:00",247184,159807
"2025-03-06 00:00:00",251325,153886
